"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/22 7:34:27 PM GMT+5:30","35","2nd Attempt","Instagram;WhatsApp;Telegram","1-3 hours","4-6 hours","Group;Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","Moderate"
"2026/01/22 7:35:42 PM GMT+5:30","32","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","High"
"2026/01/22 8:22:35 PM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","4-6 hours","Mass Class","Mass Class","Mass Class","1-3 years","75-90%","No","High"
"2026/01/22 8:34:22 PM GMT+5:30","35","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","3-5 hours","2-4 hours","Mass Class","Mass Class","None","More than 10 years","75-90%","No","High"
"2026/01/22 8:49:12 PM GMT+5:30","40","2nd Attempt","TikTok;WhatsApp;Telegram;YouTube","3-5 hours","2-4 hours","Group","Group","Group","More than 10 years","Below 50%","No","High"
"2026/01/22 8:55:43 PM GMT+5:30","45","1st Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class;None","Mass Class","More than 10 years","Below 50%","Yes","Low"
"2026/01/22 8:55:56 PM GMT+5:30","40","1st Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","Moderate"
"2026/01/22 8:56:14 PM GMT+5:30","30","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","Yes","Moderate"
"2026/01/22 8:56:36 PM GMT+5:30","28","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube;Other","3-5 hours","6+ hours","Individual;Mass Class","","","More than 10 years","Below 50%","","Very High"
"2026/01/22 8:56:41 PM GMT+5:30","38","2nd Attempt","TikTok;WhatsApp;Telegram;YouTube","3-5 hours","0-2 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Low"
